entity,domain,subcategory,source,language
Emeka Opara,family_and_kinship,person_name,wikidata,en
Nduka Odizor,family_and_kinship,person_name,wikidata,en
Paul Dike,family_and_kinship,person_name,wikidata,en
Fortunatus Nwachukwu,family_and_kinship,person_name,wikidata,en
Michael Ugwu Eneja,family_and_kinship,person_name,wikidata,en
Helen Ukaonu,family_and_kinship,person_name,wikidata,en
Ndubuisi Egbo,family_and_kinship,person_name,wikidata,en
Obiageli Olorunsola,family_and_kinship,person_name,wikidata,en
Nwankwo Obiora,family_and_kinship,person_name,wikidata,en
Chris Anyanwu,family_and_kinship,person_name,wikidata,en
Alex Ifeanyichukwu Ekwueme,family_and_kinship,person_name,wikidata,en
Rita Dominic,family_and_kinship,person_name,wikidata,en
Nduka Ugbade,family_and_kinship,person_name,wikidata,en
Chimamanda Ngozi Adichie,family_and_kinship,person_name,wikidata,en
Chibuzor Okonkwo,family_and_kinship,person_name,wikidata,en
Newton Aduaka,family_and_kinship,person_name,wikidata,en
Chucks Nwoko,family_and_kinship,person_name,wikidata,en
Christopher Kanu,family_and_kinship,person_name,wikidata,en
Obiora Odita,family_and_kinship,person_name,wikidata,en
Chukwunonso Onwuekelu,family_and_kinship,person_name,wikidata,en
Chukwuma Akabueze,family_and_kinship,person_name,wikidata,en
Nduka Awazie,family_and_kinship,person_name,wikidata,en
Emeka Ezeugo,family_and_kinship,person_name,wikidata,en
Chinemelu Elonu,family_and_kinship,person_name,wikidata,en
Obinna Metu,family_and_kinship,person_name,wikidata,en
Ngozi Okonjo-Iweala,family_and_kinship,person_name,wikidata,en
Chamberlain Oguchi,family_and_kinship,person_name,wikidata,en
Chinedu Obasi,family_and_kinship,person_name,wikidata,en
Chidi Onyemah,family_and_kinship,person_name,wikidata,en
Chima Ugwu,family_and_kinship,person_name,wikidata,en
Chinedu Oriala,family_and_kinship,person_name,wikidata,en
Christian Chukwu,family_and_kinship,person_name,wikidata,en
Christian Muomaife,family_and_kinship,person_name,wikidata,en
Chukwudiebere Maduabum,family_and_kinship,person_name,wikidata,en
Ifi Amadiume,family_and_kinship,person_name,wikidata,en
Jaja of Opobo,family_and_kinship,person_name,wikidata,en
Ken Saro-Wiwa,family_and_kinship,person_name,wikidata,en
Chigozie Agbim,family_and_kinship,person_name,wikidata,en
Chidi Odiah,family_and_kinship,person_name,wikidata,en
Joy Ogwu,family_and_kinship,person_name,wikidata,en
Ojo Maduekwe,family_and_kinship,person_name,wikidata,en
Onyekachi Nwoha,family_and_kinship,person_name,wikidata,en
Ike Omar Sanda Nwachukwu,family_and_kinship,person_name,wikidata,en
Christopher Okigbo,family_and_kinship,person_name,wikidata,en
Nkem Owoh,family_and_kinship,person_name,wikidata,en
Achike Udenwa,family_and_kinship,person_name,wikidata,en
Chimaroke Nnamani,family_and_kinship,person_name,wikidata,en
Chinenye Akinlade,family_and_kinship,person_name,wikidata,en
Chris Nwabueze Ngige,family_and_kinship,person_name,wikidata,en
Ebitu Ukiwe,family_and_kinship,person_name,wikidata,en
Ikedi Ohakim,family_and_kinship,person_name,wikidata,en
Martin Elechi,family_and_kinship,person_name,wikidata,en
Peter Obi,family_and_kinship,person_name,wikidata,en
Sam Egwu,family_and_kinship,person_name,wikidata,en
Sullivan Chime,family_and_kinship,person_name,wikidata,en
Theodore Ahamefule Orji,family_and_kinship,person_name,wikidata,en
Virginia Etiaba,family_and_kinship,person_name,wikidata,en
Adolphus Opara,family_and_kinship,person_name,wikidata,en
Amarachi Okafor,family_and_kinship,person_name,wikidata,en
Chinedu Obi,family_and_kinship,person_name,wikidata,en
Christian Obi,family_and_kinship,person_name,wikidata,en
Emeka Erege,family_and_kinship,person_name,wikidata,en
Emeka Jude Ugali,family_and_kinship,person_name,wikidata,en
Emeka Ogboh,family_and_kinship,person_name,wikidata,en
Johnson Aguiyi-Ironsi,family_and_kinship,person_name,wikidata,en
Chukwuemeka Odumegwu Ojukwu,family_and_kinship,person_name,wikidata,en
Chikeluba Ofoedu,family_and_kinship,person_name,wikidata,en
Christian Obodo,family_and_kinship,person_name,wikidata,en
Dora Akunyili,family_and_kinship,person_name,wikidata,en
